JIH_OV_SNP_5,code_imp_1
JIH_OV_SNP_7,code_imp_3
JIH_OV_SNP_11,code_imp_5
JIH_OV_SNP_12,code_imp_6
JIH_OV_SNP_14,code_imp_8
JIH_OV_SNP_21,code_imp_12
JIH_OV_SNP_23,code_imp_13
JIH_OV_SNP_24,code_imp_14
JIH_OV_SNP_25,code_imp_15
JIH_OV_SNP_27,code_imp_16
JIH_OV_SNP_29,code_imp_17
JIH_OV_SNP_32,code_imp_19
JIH_OV_SNP_34,code_imp_20
JIH_OV_SNP_37,code_imp_22
JIH_OV_SNP_45,code_imp_29
JIH_OV_SNP_46,code_imp_30
JIH_OV_SNP_50,code_imp_33
JIH_OV_SNP_54,code_imp_36
JIH_OV_SNP_58,code_imp_39
JIH_OV_SNP_61,code_imp_41
JIH_OV_SNP_62,code_imp_42
JIH_OV_SNP_63,code_imp_43
JIH_OV_SNP_65,code_imp_44
JIH_OV_SNP_68,code_imp_45
JIH_OV_SNP_71,code_imp_48
JIH_OV_SNP_74,code_imp_49
JIH_OV_SNP_75,code_imp_50
JIH_OV_SNP_76,code_imp_51
JIH_OV_SNP_81,code_imp_53
JIH_OV_SNP_83,code_imp_55
JIH_OV_SNP_85,code_imp_57
JIH_OV_SNP_86,code_imp_58
JIH_OV_SNP_98,code_imp_63
JIH_OV_SNP_102,code_imp_66
JIH_OV_SNP_103,code_imp_67
JIH_OV_SNP_106,code_imp_68
JIH_OV_SNP_108,code_imp_69
JIH_OV_SNP_119,code_imp_75
JIH_OV_SNP_124,code_imp_77
JIH_OV_SNP_125,code_imp_78
JIH_OV_SNP_132,code_imp_81
JIH_OV_SNP_133,code_imp_82
JIH_OV_SNP_140,code_imp_84
JIH_OV_SNP_144,code_imp_87
JIH_OV_SNP_145,code_imp_88
JIH_OV_SNP_150,code_imp_90
JIH_OV_SNP_157,code_imp_94
JIH_OV_SNP_161,code_imp_95
JIH_OV_SNP_164,code_imp_97
